Abdur Razzak,BDESH,2004,2014,153,152,7965,6065,207,5/29,29.29,4.56,38.4,5,4
CZ Harris,NZ,1990,2004,250,232,10667,7613,203,5/42,37.5,4.28,52.5,2,1
CJ McDermott,AUS,1985,1996,138,138,7461,5018,203,5/44,24.71,4.03,36.7,4,1
CL Cairns,ICC,1991,2006,215,186,8168,6594,201,5/42,32.8,4.84,40.6,3,1
CL Cairns,NZ,1991,2006,215,186,8168,6594,201,5/42,32.8,4.84,40.6,3,1
DJ Bravo,WI,2004,2014,164,150,6511,5874,199,6/43,29.51,5.41,32.7,6,1
BKV Prasad,INDIA,1994,2001,161,160,8129,6332,196,5/27,32.3,4.67,41.4,3,1
KMDN Kulasekara,SL,2003,2017,181,179,8200,6689,195,5/22,34.3,4.89,42,3,1
SR Waugh,AUS,1986,2002,325,207,8883,6761,195,4/33,34.67,4.56,45.5,3,0
CL Hooper,WI,1987,2003,227,203,9573,6958,193,4/34,36.05,4.36,49.6,3,0
L Klusener,SA,1996,2004,171,164,7336,5751,192,6/49,29.95,4.7,38.2,1,6
CRD Fernando,Asia,2001,2012,147,141,6507,5648,187,6/27,30.2,5.2,34.7,3,1
CRD Fernando,SL,2001,2012,147,141,6507,5648,187,6/27,30.2,5.2,34.7,3,1
Saeed Ajmal,PAK,2008,2015,113,112,6000,4182,184,5/24,22.72,4.18,32.6,6,2
Aaqib Javed,PAK,1988,1998,163,159,8012,5721,182,7/37,31.43,4.28,44,2,4
Imran Khan,PAK,1974,1992,175,153,7461,4844,182,6/14,26.61,3.89,40.9,3,1
M Morkel,Afr,2007,2016,108,105,5388,4453,181,5/21,24.6,4.95,29.7,7,2
M Morkel,SA,2007,2016,108,105,5388,4453,181,5/21,24.6,4.95,29.7,7,2
DW Steyn,Afr,2005,2016,116,115,5821,4793,180,6/39,26.62,4.94,32.3,4,3
DW Steyn,SA,2005,2016,116,115,5821,4793,180,6/39,26.62,4.94,32.3,4,3
Umar Gul,PAK,2003,2016,130,128,6064,5253,179,6/42,29.34,5.19,33.8,4,2
SCJ Broad,ENG,2006,2016,121,121,6109,5364,178,5/23,30.13,5.26,34.3,9,1
NW Bracken,AUS,2001,2009,116,116,5759,4240,174,5/47,24.36,4.41,33,5,2
JDP Oram,NZ,2001,2012,160,154,6911,5047,173,5/26,29.17,4.38,39.9,3,2
IK Pathan,INDIA,2004,2012,120,118,5855,5142,173,5/27,29.72,5.26,33.8,5,2
A Flintoff,ENG,1999,2009,141,119,5624,4121,169,5/19,24.38,4.39,33.2,6,2
A Flintoff,ICC,1999,2009,141,119,5624,4121,169,5/19,24.38,4.39,33.2,6,2
SR Watson,AUS,2002,2015,190,163,6466,5342,168,4/36,31.79,4.95,38.4,3,0
CH Gayle,ICC,1999,2015,269,190,7222,5739,163,5/46,35.2,4.76,44.3,3,1
